,organisation,description,website,cause_area,programme_types,address,country,city,contact_number,email
0,Bali Pink Ribbon - Breast Cancer Awareness Foundation,"Bali Pink Ribbon was founded by Gaye Warren, a British breast cancer survivor who has lived in Jakarta for more than twenty years. Following her own treatment for breast cancer and her husband’s retirement, they moved from Jakarta to Bali. Shortly thereafter, Gaye discovered that the infrastructure in Bali for making women aware of breast cancer was almost non existent, notwithstanding professional medical expertise being available on the island with at least two hospitals offering breast cancer treatment to patients.",http://www.balipinkribbon.com,"Balinese People, Health",Our vision is to prevent Indonesian women from developing and dying from breast cancer and to improve the quality of life of those who have the disease. The money we receive helps us achieve this vision through awareness & Education Programmes and by supporting women with breast cancer.,80113 Dauh Puri Kauh (Denpasar Barat),Indonesia,Denpasar,+62 361 4746238,pr@balipinkribbon.com
1,Volunteer Programs Bali,"At VP Bali, we believe that education can change a child’s destiny. More than just an international volunteer program, we provide opportunities to empower local Balinese communities through free English classes, recycling events, workshops, and more. These opportunities give Bali’s youth the tools they need to achieve their potential in an ever changing society, while holding on to the values and respect for the vibrant culture that makes Bali so unique. 

Since 2013, over 1000 international volunteers have provided the backbone for our community of learning in our after school English classes, focusing on playful and creative learning activities. Year round, volunteers from the ages of 18-35 come from all over the world to inspire our communities through diversity and cultural exchange. In recent years, our organization has grown beyond volunteering, partnering with local businesses and families to create self sustainable communities long after working with us. 

",http://http://volunteerprogramsbali.org,"Balinese People, Children, Balinese Art & Culture","A dopting the Balinese values and its premise that community and family is of utmost importance, we aim to inspire and provide opportunities for local Balinese while respecting their culture and way of life that makes this island so unique. Not only providing opportunity for Bali’s youth to escape poverty through free English classes, VP Bali also gives community members and struggling local businesses the chance to work with us, and grow as we grow",80571 Ubud (Petulu),Indonesia,Ubud,NA,info@volunteerprogramsbali.org
2,NGO 4 Ger,Only for specials,http://www.fiedbeck.de,Balinese People,NA,Strasse 1 Bali,Indonesia,Amed,+49 7531 123456,h.vergara@fiedbeck.de
3,Bali Children Foundation,"Our vision, at Bali Children Foundation, is to provide an educational pathway for disadvantaged Balinese children – a journey leading to growth and long term sustainability. ",http://www.balichildrenfoundation.org,"Children, Education & Schools","To provide community education in remote areas of Indonesia. To provide primary, secondary and tertiary scholarships to children in 49 communities. To provide English in the Village (EITV) and Computers in the Village (CITV) classes in 36 locations. To provide educational opportunities to children at associated Children's Homes","80361 Kuta, Bali",Indonesia,Seminyak,+62 361  847 5399,info@balichildrenfoundation.org
4,Friends of the National Parks Foundation,"Friends of the National Park Foundation (FNPF) is an Indonesian conservation not-for-profit organization working to protect wildlife and its habitat, at the same time as supporting local communities.

Our projects have been recognized globally by organizations such as the United Nations Development Program, the Whitley Fund for Nature and the Rainforest Action Network.

FNPF was set up 1997 by a group of veterinarians, and conservationists. We receive no government funding and rely solely on the support of volunteers and donors.",http://www.fnpf.org,Environment & Nature Conservation,"To protect wildlife and its habitat, at the same time as supporting local communities",80571 Ubud (Intaran),Indonesia,Pejeng,+62 361 4792286,info@fnpf.org
5,Bali Street Kids Project (YKPA),"Helping children in the streets for 13 yrs became a school class on the beach, then a shelter, home, and orphanage. People volunteer, donate food, supplies, and funds. YKPA finds other needy children including disabled, seriously sick/injured, abandoned, abused, also women, and poor girls wishing to finish basic schooling. 

YKPA helps still-begging kids with a store-front informal school, and work training for some of their mothers. Other outreach brings children from volcano danger areas, and getting them into school in Denpasar. YKPA also brings clothing and food to villages, and takes in those kids in serious condition or finds help for them.

YKPA provides accommodation for poor children who come from far away for important medical care and surgery. YKPA has a small women’s shelter for woman and their children needing safety. The 45 kids in residence all attend school, and extra classes in English, computer, etc, and also learn skills and get help finding work.
",http://www.ykpa.org,"Balinese People, Children, Women & Women's Rights, Education & Schools","To give loving support, education, care, and skills for disadvantaged children to have the opportunity of a satisfying and productive life as good citizens",80117 Padangsambian (Umadui),Indonesia,Denpasar,NA,care4child@ykpa.org
6,Bali Life Foundation,"To provide care to those who are disillusioned and disadvantaged with the aim of giving them hope, dignity and purpose",http://www.balilife.org,"Children, Education & Schools, General Wellbeing","We are a small charity with a big heart. We strive to provide love and care to those in Bali who are disillusioned and underprivileged, with the aim of giving them hope, dignity and purpose.",Jl. Bali Cliff 6X Bali,Indonesia,Ungasan,+62 361 708130,info@balilife.org
7,"R.O.L.E. (Rivers, Oceans, Lands, Educations) Foundation","To improve the education , well being and self-reliance of people living in underprivileged circumstances whilst ensuring environmental resilience and sustainability",http://www.rolefoundation.org,"Environment & Nature Conservation, Oceans & Marine Life","Inspire the local government to incorporate the “Zero Waste to Ocean” waste management into their process that waste is recycled or upcycled on site. Grow children and local communities into ‘Zero Waste’ believers and doers. Promote sustainable jobs and businesses that do not harm any of our natural resources, such as organic cotton and natural dye weaving, permaculture farming and soap recycling.",Jl. Celagi Nunggul 101 Bali,Indonesia,Nusa Dua,+62 361 8078805,mike@rolefoundation.org
8,Mitra Bali Fair Trade,"Since 1993, Mitra Bali has been actively participating in Bali’s economic and social development by working to empower a large group of handicraft producers. One of Bali’s great sources of potential are the skilled hands its citizens that create bountiful quantities of crafts and souvenirs for the tourists, who traverse the rich and beautiful soil of this island. World-renowned male and female craft producers alike contribute greatly to the development of Bali’s tourist industry. The presence and contribution of the tourists, who purchase these products, has lead to a growing number of work opportunities for the brothers and sisters, relatives, families and neighbors in the villages of craft producers, who have suffered from the prolonged crisis in Bali.",http://www.mitrabali.com,"Balinese People, Balinese Art & Culture", To empower a large group of handicraft producers,80571 Ubud (Lod Sema),Indonesia,Ubud,+62 361 295010,marketing@mitrabali.com
9,Kupu Kupu Foundation Indonesia,"We help improve lives by assisting with medical care, medicines, physiotherapy and surgical operations. We provide wheelchairs and other physical aids and adapt facilities to be easier to use by people with disabilities.

We transport disabled children to and from school and help disabled people become more independent by selling and promoting handicrafts that they make.

We also work to increase awareness in the local community of the challenges faced by people with disabilities",http://www.kupukupufoundation.org,"Children, Health, Education & Schools","Kupu-Kupu Foundation improves the lives of people with disabilities in Bali, Indonesia. Join us and help make a difference.",80571 Ubud (Kutuh Kelod),Indonesia,Ubud,+62 812 3628720,begonia@kupukupufoundation.org
