,Organisation,NGO Listing Page,Classified Category,Address,Telephone,Mobile,Email,Website,Twitter,Facebook,GooglePlus,Instagram,Description,Programs,Year of Foundation,Country
0,Bali Pink Ribbon - Breast Cancer Awareness Foundation,https://www.bali.com/charity_Denpasar_Bali-Pink-Ribbon---Breast-Cancer-Awareness-Foundation_4778.html,"Balinese People, Health",80113 Dauh Puri Kauh (Denpasar Barat),+62 361 4746238,+62 85100352299,pr@balipinkribbon.com,http://www.balipinkribbon.com,NA,https://www.facebook.com/balipinkribbon,NA,https://www.instagram.com/bali.pink.ribbon,"Bali Pink Ribbon was founded by Gaye Warren, a British breast cancer survivor who has lived in Jakarta for more than twenty years. Following her own treatment for breast cancer and her husband’s retirement, they moved from Jakarta to Bali. Shortly thereafter, Gaye discovered that the infrastructure in Bali for making women aware of breast cancer was almost non existent, notwithstanding professional medical expertise being available on the island with at least two hospitals offering breast cancer treatment to patients.",Our vision is to prevent Indonesian women from developing and dying from breast cancer and to improve the quality of life of those who have the disease. The money we receive helps us achieve this vision through awareness & Education Programmes and by supporting women with breast cancer.,2009,Indonesia
1,Volunteer Programs Bali,https://www.bali.com/charity_Ubud_Volunteer-Programs-Bali_4571.html,"Balinese People, Children, Balinese Art & Culture",80571 Ubud (Petulu),NA,NA,info@volunteerprogramsbali.org,http://http://volunteerprogramsbali.org,https://twitter.com/_VPBali,https://www.facebook.com/VolunteerProgramsBali/,https://plus.google.com/+VpBaliTeam,https://www.instagram.com/volunteerprogramsbali/,"At VP Bali, we believe that education can change a child’s destiny. More than just an international volunteer program, we provide opportunities to empower local Balinese communities through free English classes, recycling events, workshops, and more. These opportunities give Bali’s youth the tools they need to achieve their potential in an ever changing society, while holding on to the values and respect for the vibrant culture that makes Bali so unique. 

Since 2013, over 1000 international volunteers have provided the backbone for our community of learning in our after school English classes, focusing on playful and creative learning activities. Year round, volunteers from the ages of 18-35 come from all over the world to inspire our communities through diversity and cultural exchange. In recent years, our organization has grown beyond volunteering, partnering with local businesses and families to create self sustainable communities long after working with us. 

","A dopting the Balinese values and its premise that community and family is of utmost importance, we aim to inspire and provide opportunities for local Balinese while respecting their culture and way of life that makes this island so unique. Not only providing opportunity for Bali’s youth to escape poverty through free English classes, VP Bali also gives community members and struggling local businesses the chance to work with us, and grow as we grow",2013,Indonesia
2,NGO 4 Ger,https://www.bali.com/charity_Amed_NGO-4-Ger_4574.html,Balinese People,Strasse 1 Bali,+49 7531 123456,+34 1234567890,h.vergara@fiedbeck.de,http://www.fiedbeck.de,NA,NA,NA,NA,Only for specials,NA,NA,Indonesia
3,Bali Children Foundation,https://www.bali.com/charity_Seminyak_Bali-Children-Foundation_2693.html,"Children, Education & Schools","80361 Kuta, Bali",+62 361  847 5399,NA,info@balichildrenfoundation.org,http://www.balichildrenfoundation.org,https://twitter.com/bcfbali,https://www.facebook.com/BaliChildrenFoundation,NA,NA,"Our vision, at Bali Children Foundation, is to provide an educational pathway for disadvantaged Balinese children – a journey leading to growth and long term sustainability. ","To provide community education in remote areas of Indonesia. To provide primary, secondary and tertiary scholarships to children in 49 communities. To provide English in the Village (EITV) and Computers in the Village (CITV) classes in 36 locations. To provide educational opportunities to children at associated Children's Homes",NA,Indonesia
4,Friends of the National Parks Foundation,https://www.bali.com/charity_Pejeng_Friends-of-the-National-Parks-Foundation_2708.html,Environment & Nature Conservation,80571 Ubud (Intaran),+62 361 4792286,811398052,info@fnpf.org,http://www.fnpf.org,https://twitter.com/@fnpfbali,https://www.facebook.com/Friends of the National Parks Foundation,NA,https://www.instagram.com/@fnpf.id,"Friends of the National Park Foundation (FNPF) is an Indonesian conservation not-for-profit organization working to protect wildlife and its habitat, at the same time as supporting local communities.

Our projects have been recognized globally by organizations such as the United Nations Development Program, the Whitley Fund for Nature and the Rainforest Action Network.

FNPF was set up 1997 by a group of veterinarians, and conservationists. We receive no government funding and rely solely on the support of volunteers and donors.","To protect wildlife and its habitat, at the same time as supporting local communities",1997,Indonesia
5,Bali Street Kids Project (YKPA),https://www.bali.com/charity_Denpasar_Bali-Street-Kids-Project-YKPA-_2702.html,"Balinese People, Children, Women & Women's Rights, Education & Schools",80117 Padangsambian (Umadui),NA,NA,care4child@ykpa.org,http://www.ykpa.org,NA,https://www.facebook.com/ykpa.kids,NA,NA,"Helping children in the streets for 13 yrs became a school class on the beach, then a shelter, home, and orphanage. People volunteer, donate food, supplies, and funds. YKPA finds other needy children including disabled, seriously sick/injured, abandoned, abused, also women, and poor girls wishing to finish basic schooling. 

YKPA helps still-begging kids with a store-front informal school, and work training for some of their mothers. Other outreach brings children from volcano danger areas, and getting them into school in Denpasar. YKPA also brings clothing and food to villages, and takes in those kids in serious condition or finds help for them.

YKPA provides accommodation for poor children who come from far away for important medical care and surgery. YKPA has a small women’s shelter for woman and their children needing safety. The 45 kids in residence all attend school, and extra classes in English, computer, etc, and also learn skills and get help finding work.
","To give loving support, education, care, and skills for disadvantaged children to have the opportunity of a satisfying and productive life as good citizens",2009,Indonesia
6,Bali Life Foundation,https://www.bali.com/charity_Ungasan_Bali-Life-Foundation_2713.html,"Children, Education & Schools, General Wellbeing",Jl. Bali Cliff 6X Bali,+62 361 708130,NA,info@balilife.org,http://www.balilife.org,NA,https://www.facebook.com/balilife,NA,NA,"To provide care to those who are disillusioned and disadvantaged with the aim of giving them hope, dignity and purpose","We are a small charity with a big heart. We strive to provide love and care to those in Bali who are disillusioned and underprivileged, with the aim of giving them hope, dignity and purpose.",2006,Indonesia
7,"R.O.L.E. (Rivers, Oceans, Lands, Educations) Foundation",https://www.bali.com/charity_Nusa-Dua_R-O-L-E-Rivers-Oceans-Lands-Educations-Foundation_2691.html,"Environment & Nature Conservation, Oceans & Marine Life",Jl. Celagi Nunggul 101 Bali,+62 361 8078805,+62 819 33113229,mike@rolefoundation.org,http://www.rolefoundation.org,NA,NA,NA,NA,"To improve the education , well being and self-reliance of people living in underprivileged circumstances whilst ensuring environmental resilience and sustainability","Inspire the local government to incorporate the “Zero Waste to Ocean” waste management into their process that waste is recycled or upcycled on site. Grow children and local communities into ‘Zero Waste’ believers and doers. Promote sustainable jobs and businesses that do not harm any of our natural resources, such as organic cotton and natural dye weaving, permaculture farming and soap recycling.",2007,Indonesia
8,Mitra Bali Fair Trade,https://www.bali.com/charity_Ubud_Mitra-Bali-Fair-Trade_2704.html,"Balinese People, Balinese Art & Culture",80571 Ubud (Lod Sema),+62 361 295010,NA,marketing@mitrabali.com,http://www.mitrabali.com,NA,https://www.facebook.com/MitraBaliFairTrade,NA,NA,"Since 1993, Mitra Bali has been actively participating in Bali’s economic and social development by working to empower a large group of handicraft producers. One of Bali’s great sources of potential are the skilled hands its citizens that create bountiful quantities of crafts and souvenirs for the tourists, who traverse the rich and beautiful soil of this island. World-renowned male and female craft producers alike contribute greatly to the development of Bali’s tourist industry. The presence and contribution of the tourists, who purchase these products, has lead to a growing number of work opportunities for the brothers and sisters, relatives, families and neighbors in the villages of craft producers, who have suffered from the prolonged crisis in Bali.", To empower a large group of handicraft producers,1993,Indonesia
9,Kupu Kupu Foundation Indonesia,https://www.bali.com/charity_Ubud_Kupu-Kupu-Foundation-Indonesia_2710.html,"Children, Health, Education & Schools",80571 Ubud (Kutuh Kelod),NA,+62 812 3628720,begonia@kupukupufoundation.org,http://www.kupukupufoundation.org,NA,https://www.facebook.com/Kupu-Kupu-Foundation-Bali-1599536983687010/,https://plus.google.com/+108487696055055107520/about?gl=id&hl=en,NA,"We help improve lives by assisting with medical care, medicines, physiotherapy and surgical operations. We provide wheelchairs and other physical aids and adapt facilities to be easier to use by people with disabilities.

We transport disabled children to and from school and help disabled people become more independent by selling and promoting handicrafts that they make.

We also work to increase awareness in the local community of the challenges faced by people with disabilities","Kupu-Kupu Foundation improves the lives of people with disabilities in Bali, Indonesia. Join us and help make a difference.",NA,Indonesia
